thefe|these
diftinguifh|distinguish
efcaped|escaped
fuddenly|suddenly
confift|consist
archbifhop|archbishop
veflel|vessel
excufe|excuse
suffcient|sufficient
reprefentation|representation
defnition|definition
fweet|sweet
univerfe|universe
ftated|stated
paffed|passed
crdoba|cordoba
refiftance|resistance
inftruments|instruments
difciples|disciples
filence|silence
grofs|gross
afia|asia
lran|iran
fve|five
teftament|testament
refounded|resounded
difeafes|diseases
kindnefs|kindness
cenfure|censure
fentiment|sentiment
purfuit|pursuit
anceftors|ancestors
refufe|refuse
treatife|treatise
fage|sage
obferves|observes
ftatute|statute
ftronger|stronger
ftage|stage
nformation|information
fucceffion|succession
inftant|instant
weftern|western
domeftic|domestic
queftions|questions
eaftern|eastern
greatnefs|greatness
fuppofing|supposing
fmaller|smaller
fenate|senate
concemed|concerned
recourfe|recourse
interefting|interesting
fecured|secured
ntroduction|introduction
felves|selves
illuftrious|illustrious
awav|away
corfe|corse
fuitable|suitable
poflefled|possessed
mavor|mayor
alwavs|always
fearch|search
ftock|stock
ftriking|striking
exercifed|exercised
furnifh|furnish
carn|earn
feated|seated
flate|slate
intemet|internet
tiiat|that
fuperiority|superiority
ftay|stay
noife|noise
propofition|proposition
botli|both
firfl|first
caldern|calderon
mifchief|mischief
pofitive|positive
countrv|country
worft|worst
unjuft|unjust
neceflity|necessity
chufe|chuse
beftowed|bestowed
wliat|what
tlme|time
paffing|passing
fign|sign
fint|sint
abufe|abuse
ftrongeft|strongest
fteps|steps
impreffion|impression
fing|sing
ufelefs|useless
impofed|imposed
ftandard|standard
tranflation|translation
filo|silo
profpect|prospect
prefently|presently
propofe|propose
accufed|accused
prefume|presume
lllus|illus
fura|sura
fimile|simile
difgrace|disgrace
fuccefsful|successful
fettlement|settlement
hiftorians|historians
vifited|visited
falvation|salvation
ifrael|israel
lmpact|impact
decr|deer
ftreet|street
lndependence|independence
intercourfe|intercourse
blefled|blessed
paffage|passage
prefident|president
fcenes|scenes
obfcure|obscure
refemblance|resemblance
reftore|restore
poflefs|possess
amidft|amidst
fubfequent|subsequent
fublime|sublime
verfes|verses
lnterior|interior
defcribe|describe
affift|assist
deftruction|destruction
purchafed|purchased
righteoufnefs|righteousness
jealoufy|jealousy
offce|office
cance|canoe
forrow|sorrow
magiftrate|magistrate
lndustries|industries
injuftice|injustice
confcious|conscious
leafe|lease
fucceeding|succeeding
fomites|somites
benefts|benefits
duft|dust
leifure|leisure
wifhes|wishes
roval|royal
juftify|justify
afcribed|ascribed
defpair|despair
vard|yard
fheep|sheep
fection|section
affembly|assembly
ftanding|standing
counfel|counsel
lnitial|initial
fincere|sincere
femi|semi
fnding|finding
ceafe|cease
ftrangers|strangers
analvsis|analysis
finifhed|finished
johnfon|johnson
eflential|essential
fift|fist
fatisfy|satisfy
pretenfions|pretensions
feas|seas
feverity|severity
thofc|those
correfpondence|correspondence
apprehenfion|apprehension
ldentify|identify
defcended|descended
feer|seer
wafte|waste
thefc|these
commiffioners|commissioners
proteftants|protestants
ther|their
perfuade|persuade
forry|sorry
beafts|beasts
anfwers|answers
phcenix|phoenix
excefs|excess
fubjecl|subject
confifted|consisted
fugar|sugar
compafs|compass
fupplies|supplies
deferves|deserves
lmperial|imperial
fower|sower
fubftances|substances
hiftorian|historian
caf|cafe
lmportant|important
wby|why
defert|desert
paflages|passages
difagreeable|disagreeable
fett|sett
expreffions|expressions
lnsert|insert
fufpicion|suspicion
feries|series
fuppofition|supposition
focial|social
offcials|officials
fums|sums
confiderably|considerably
ftreets|streets
difpofitions|dispositions
foever|soever
fkill|skill
holinefs|holiness
favage|savage
lncludes|includes
foma|soma
divifions|divisions
pacifc|pacific
hift|hist
ffice|office
impoflible|impossible
fips|sips
confdence|confidence
englijh|english
defcent|descent
fymptoms|symptoms
fixth|sixth
fuperftition|superstition
groff|gross
fhews|shews
carlier|earlier
bid|ibid
lntelligence|intelligence
jerufalem|jerusalem
difcharged|discharged
fuffering|suffering
tranflated|translated
cels|eels
savs|says
treafure|treasure
poffeffion|possession
feventy|seventy
fhewed|shewed
tendernefs|tenderness
furprifed|surprised
whicb|which
eldeft|eldest
fpecial|special
rufe|ruse
ftream|stream
propofal|proposal
confifting|consisting
difcoveries|discoveries
armv|army
advifed|advised
funt|sunt
littie|little
voung|young
monfieur|monsieur
difplayed|displayed
figns|signs
legiflature|legislature
treafon|treason
raifing|raising
fubmitted|submitted
figned|signed
fortie|sortie
ftranger|stranger
lsraeli|israeli
profe|prose
doubtlefs|doubtless
difputes|disputes
unlverslty|university
nly|only
difplay|display
diforders|disorders
fimplicity|simplicity
fcripture|scripture
confiderations|considerations
choofe|choose
vore|yore
fhut|shut
inconfiftent|inconsistent
punifhed|punished
phyfician|physician
hofpital|hospital
rifes|rises
fafhion|fashion
philofophical|philosophical
fignifies|signifies
ftop|stop
exhaufted|exhausted
confrmed|confirmed
expofe|expose
tme|time
weleome|welcome
chinefe|chinese
occafionally|occasionally
lnto|into
fhow|show
handfome|handsome
teff|tess
mceurs|moeurs
ftorm|storm
concems|concerns
monev|money
retumed|returned
fufferings|sufferings
proft|profit
ftrike|strike
lous|louis
fignal|signal
fixteen|sixteen
flave|slave
ghoft|ghost
becn|been
aref|ares
theorv|theory
lefler|lesser
malava|malaya
deftitute|destitute
hiftorical|historical
refpective|respective
conceming|concerning
ruffia|russia
storv|story
folution|solution
invafion|invasion
increafing|increasing
infpired|inspired
fciences|sciences
ncar|near
teft|test
neareft|nearest
fouthern|southern
tvpe|type
beftow|bestow
tliem|them
apprehenfions|apprehensions
refpects|respects
nave|naive
countv|county
afliftance|assistance
defcend|descend
refift|resist
niccol|niccolo
lllustrated|illustrated
policv|policy
fnished|finished
sland|island
perfecution|persecution
referved|reserved
fuggefted|suggested
loweft|lowest
bofom|bosom
inferted|inserted
lnstitution|institution
thoufands|thousands
affigned|assigned
againfl|against
defperate|desperate
fhape|shape
offcer|officer
nstead|instead
companv|company
controverfy|controversy
filk|silk
fuited|suited
refin|resin
hstory|history
miftrefs|mistress
foldier|soldier
jofeph|joseph
inftitutions|institutions
taly|italy
lndonesian|indonesian
difperfed|dispersed
lnst|inst
emprefs|empress
aflembled|assembled
confumption|consumption
frem|fresh
tbrough|through
julv|july
rafa|rasa
asuncin|asuncion
fkin|skin
tbou|thou
reprefentatives|representatives
feaft|feast
ftomach|stomach
interefted|interested
strategics|strategies
applaufe|applause
identifcation|identification
fplendid|splendid
fafely|safely
conteft|contest
decifion|decision
fuppofes|supposes
fufpended|suspended
earneft|earnest
wickednefs|wickedness
loof|loos
feventh|seventh
garca|garcia
coafts|coasts
atmofphere|atmosphere
confult|consult
somc|some
mara|maria
nofe|nose
confiftent|consistent
furrender|surrender
everlafting|everlasting
bceotia|boeotia
httle|little
fmalleft|smallest
reprefents|represents
phvs|phys
flavery|slavery
flled|filled
befide|beside
difpofe|dispose
inconfiderable|inconsiderable
acrofs|across
ndustrial|industrial
leee|ieee
punifh|punish
previoufly|previously
fprings|springs
fignify|signify
muffet|musset
coln|colon
arcola|areola
propofitions|propositions
flill|still
feize|seize
phcebe|phoebe
dailv|daily
veffels|vessels
paflions|passions
brafs|brass
deferved|deserved
exprefsly|expressly
difcretion|discretion
rst|erst
mahn|malin
effeft|effect
portuguefe|portuguese
exifted|existed
abfurdity|absurdity
perfuafion|persuasion
tbree|three
infifted|insisted
diftances|distances
furprife|surprise
paflion|passion
conquefts|conquests
difpatched|dispatched
feafons|seasons
ndex|index
necessarv|necessary
fmooth|smooth
fatf|fats
effe|esse
feld|field
mufcles|muscles
reafonably|reasonably
treafury|treasury
fown|sown
fcale|scale
foreft|forest
confpicuous|conspicuous
epiftle|epistle
repofe|repose
iflue|issue
treafurer|treasurer
fnow|snow
boaft|boast
fubfiftence|subsistence
ftudied|studied
difappointed|disappointed
exercifes|exercises
ferves|serves
witnefles|witnesses
largeft|largest
earneftly|earnestly
fction|fiction
inftructions|instructions
fcattered|scattered
bleffing|blessing
refpecting|respecting
juftices|justices
satisfed|satisfied
fuftained|sustained
inftruction|instruction
hafting|hasting
refolutions|resolutions
fquadron|squadron
practifed|practised
phyficians|physicians
ftudies|studies
cach|each
highnefs|highness
fubfift|subsist
referve|reserve
modefty|modesty
fchools|schools
compofe|compose
falt|salt
iffue|issue
fpare|spare
refided|resided
bevond|beyond
aflured|assured
elfewhere|elsewhere
amufement|amusement
averfion|aversion
objeft|object
afcertained|ascertained
ariftotle|aristotle
exclufive|exclusive
profts|profits
folely|solely
clofely|closely
fould|sould
fhame|shame
profefs|profess
fenfation|sensation
reftrain|restrain
and|land
ceafed|ceased
hafte|haste
accomplifhed|accomplished
felds|fields
conduft|conduct
diffculty|difficulty
poifon|poison
sacrifce|sacrifice
deftined|destined
expreffed|expressed
trev|trey
amercan|american
ftars|stars
preferving|preserving
refpecl|respect
bceuf|boeuf
dcus|deus
alreadv|already
fummoned|summoned
congrefs|congress
cheefe|cheese
baptifm|baptism
talian|italian
fecretary|secretary
abufes|abuses
fola|sola
difcourfes|discourses
ltems|items
prefcribed|prescribed
beaft|beast
prefumption|presumption
afcertain|ascertain
profecution|prosecution
prefumed|presumed
tranfmitted|transmitted
brum|brush
bofton|boston
claufe|clause
diffculties|difficulties
oppreffion|oppression
weftminfter|westminster
ficknefs|sickness
phvsiol|physiol
induftrious|industrious
fober|sober
generofity|generosity
fense|sense
llfe|life
lodoform|iodoform
construc|construe
bleffings|blessings
llbrary|library
difcern|discern
jurifdiction|jurisdiction
impreffions|impressions
tbee|thee
confulted|consulted
diminifhed|diminished
patric|patrie
reallv|really
demonftration|demonstration
myfteries|mysteries
usuallv|usually
warf|wars
fcriptures|scriptures
favages|savages
abfent|absent
reprefenting|representing
obftinate|obstinate
reftraint|restraint
conftitute|constitute
tbem|them
ftrict|strict
lsle|isle
fchemes|schemes
poflibly|possibly
confpiracy|conspiracy
fpite|spite
luftre|lustre
syftem|system
mss|miss
lali|lall
frmly|firmly
fettlements|settlements
defnite|definite
juftified|justified
addrefled|addressed
conftituted|constituted
deceafed|deceased
perfian|persian
cedema|oedema
affured|assured
justifed|justified
advife|advise
defpife|despise
pleafes|pleases
conftantinople|constantinople
hypothefis|hypothesis
aflert|assert
fubdued|subdued
diftributed|distributed
ndians|indians
vifion|vision
infcription|inscription
confolation|consolation
perfia|persia
counfels|counsels
yourfelves|yourselves
aflerted|asserted
tafk|task
ufage|usage
cedematous|oedematous
fineft|finest
succefs|success
sucb|such
confned|confined
fubmiffion|submission
tmes|times
srael|israel
phyfical|physical
fnal|final
hofe|hose
fpend|spend
signifcantly|significantly
loff|loss
ftatutes|statutes
dept|depot
sceur|soeur
obfcurity|obscurity
defcribes|describes
englifli|english
hoft|host
svstems|systems
communitv|community
fupporting|supporting
miferies|miseries
hable|liable
llinois|illinois
paradife|paradise
ufing|using
inftituted|instituted
infolence|insolence
ferioufly|seriously
fenfations|sensations
refolve|resolve
feeming|seeming
fluffing|stuffing
impofe|impose
affifted|assisted
falutary|salutary
bafis|basis
fcetus|foetus
feverely|severely
lancy|laney
fituations|situations
decifive|decisive
confumed|consumed
enthufiafm|enthusiasm
fovereignty|sovereignty
neceffarily|necessarily
befieged|besieged
infult|insult
fndings|findings
reverfe|reverse
confented|consented
unreafonable|unreasonable
fphere|sphere
nternet|internet
purfuits|pursuits
fufpected|suspected
ifaac|isaac
ndustry|industry
fharp|sharp
deferted|deserted
fteady|steady
reftoration|restoration
nto|into
perim|perish
difappointment|disappointment
ftroke|stroke
liere|here
treafures|treasures
precifely|precisely
legiflative|legislative
fenfibility|sensibility
impulfe|impulse
auftria|austria
fhot|shot
firmnefs|firmness
todav|today
artift|artist
tbus|thus
invifible|invisible
fecretly|secretly
praifes|praises
converfion|conversion
myftery|mystery
wll|will
pofleflion|possession
infomuch|insomuch
tranfported|transported
confcioufnefs|consciousness
defpifed|despised
fterling|sterling
wavs|ways
tranfactions|transactions
jeft|jest
blefs|bless
fubjefts|subjects
refort|resort
ufer|user
ftraight|straight
infpire|inspire
librarv|library
exifts|exists
simn|simon
fhillings|shillings
effecl|effect
defne|define
accefs|access
moftly|mostly
adverfaries|adversaries
madnefs|madness
pofture|posture
publifh|publish
prefled|pressed
furprifing|surprising
fources|sources
aftion|action
diftrict|district
infift|insist
foundings|soundings
unin|union
phrafe|phrase
ladv|lady
partics|parties
confecrated|consecrated
marfhal|marshal
faving|saving
confeffion|confession
precife|precise
bcing|being
purfuing|pursuing
fpeedily|speedily
troublefome|troublesome
feige|seige
acla|acta
punifhments|punishments
miftakes|mistakes
refembling|resembling
wifl|wist
difturb|disturb
inclofed|inclosed
ambaflador|ambassador
papifts|papists
converfe|converse
reftrained|restrained
ferving|serving
refide|reside
subftance|substance
difpleafure|displeasure
clafles|classes
perifh|perish
permiffion|permission
facrificed|sacrificed
earlieft|earliest
jewifh|jewish
exifting|existing
lafting|lasting
fuggeft|suggest
clofed|closed
coarfe|coarse
refound|resound
criticifm|criticism
effential|essential
ifles|isles
pulfe|pulse
exquifite|exquisite
hoftile|hostile
conful|consul
deftroying|destroying
afcribe|ascribe
pruffia|prussia
defcriptions|descriptions
ftrictly|strictly
accufation|accusation
doftrine|doctrine
reprefentations|representations
redrefs|redress
holv|holy
afhamed|ashamed
acceffion|accession
bradt|bract
harveft|harvest
fortrefs|fortress
fandy|sandy
difpatch|dispatch
difturbed|disturbed
casel|easel
eftimate|estimate
fincerity|sincerity
jefuits|jesuits
bufy|busy
endlefs|endless
cur|cure
faur|saur
fass|sass
otber|other
scanf|scans
fpared|spared
danc|dane
readinefs|readiness
furvey|survey
cluded|eluded
trufted|trusted
fympathy|sympathy
liffe|lisse
probablv|probably
offces|offices
refounding|resounding
charg|charge
conftable|constable
offenfive|offensive
feparation|separation
herf|hers
tban|than
fup|sup
artifcial|artificial
enterprife|enterprise
likelv|likely
clav|clay
colled|collect
specifcally|specifically
suffciently|sufficiently
monaftery|monastery
lofing|losing
auguftus|augustus
burft|burst
ftar|star
celeftial|celestial
feaf|seas
reland|ireland
uneafy|uneasy
ftatue|statue
twentv|twenty
pofts|posts
setf|sets
demonftrated|demonstrated
fmell|smell
fpeedy|speedy
unneceflary|unnecessary
modeft|modest
diftribution|distribution
behe|belie
hoftilities|hostilities
facrifices|sacrifices
fette|sette
pcople|people
fpecific|specific
ftores|stores
feffion|session
fufpect|suspect
occafional|occasional
neft|nest
furer|surer
himfclf|himself
poffefs|possess
lnformatlon|information
diftemper|distemper
fubordinate|subordinate
poffibility|possibility
expenfive|expensive
aflent|assent
bleffed|blessed
ads|aids
modifed|modified
propofals|proposals
difpenfation|dispensation
durft|durst
eubcea|euboea
classifcation|classification
tranfport|transport
lndies|indies
conclufions|conclusions
infenfible|insensible
expreflion|expression
difcontent|discontent
ron|iron
andre|andrei
tbere|there
wifeft|wisest
ftrengthen|strengthen
refufal|refusal
focieties|societies
fcruple|scruple
conftitutions|constitutions
xford|oxford
thcy|they
cesophageal|oesophageal
fyftems|systems
fecuring|securing
justifcation|justification
crich|erich
difputed|disputed
ssues|issues
fignified|signified
obfervable|observable
furprized|surprized
extenfion|extension
feamen|seamen
felfe|selfe
volf|vols
eflay|essay
countefs|countess
hiftories|histories
folemnly|solemnly
veffel|vessel
jhall|shall
afhes|ashes
verf|vers
cceli|coeli
foolifh|foolish
furprize|surprize
ruft|rust
forefts|forests
yefterday|yesterday
grev|grey
unufual|unusual
uneafinefs|uneasiness
fuperftitious|superstitious
regifter|register
honefty|honesty
eafier|easier
stvle|style
refources|resources
defiring|desiring
flir|stir
depofited|deposited
refignation|resignation
caftles|castles
banifhed|banished
reafonings|reasonings
duchefs|duchess
thirft|thirst
imprifonment|imprisonment
profefled|professed
exceffive|excessive
outfide|outside
fhadow|shadow
quarterlv|quarterly
fuftain|sustain
difguft|disgust
enfuing|ensuing
afcend|ascend
fliort|short
infide|inside
senfes|senses
curfe|curse
encreafe|encrease
fteep|steep
lfe|life
foli|soli
nobleft|noblest
ffteenth|fifteenth
diarrhcea|diarrhoea
compofitions|compositions
manufcript|manuscript
politenefs|politeness
invefted|invested
acquifition|acquisition
feparately|separately
genera|general
aflertion|assertion
cafta|casta
figh|sigh
illuftrate|illustrate
fpirited|spirited
commiflion|commission
entrufted|entrusted
lofes|loses
foit|soit
fworn|sworn
hege|liege
pafture|pasture
fcetal|foetal
ftore|store
abufed|abused
difcovering|discovering
readv|ready
amufements|amusements
refign|resign
ycar|year
idlenefs|idleness
refpectable|respectable
cuftody|custody
fmile|smile
furrendered|surrendered
thicknefs|thickness
adts|acts
prez|perez
fre|fire
charafter|character
inftructed|instructed
arifen|arisen
fupper|supper
confufed|confused
increafes|increases
requefted|requested
partc|parte
nterest|interest
llne|line
navete|naivete
confefled|confessed
popifh|popish
eftimation|estimation
fummit|summit
flowly|slowly
liff|liss
defirable|desirable
eflence|essence
caf|cafe
compaffion|compassion
sbn|isbn
obftinacy|obstinacy
refembles|resembles
rish|irish
lonisation|ionisation
furrounding|surrounding
ccelum|coelum
lafted|lasted
haften|hasten
fuperfluous|superfluous
liften|listen
aragn|aragon
fagacity|sagacity
infert|insert
vifits|visits
briftol|bristol
conftruction|construction
ftrain|strain
deferving|deserving
ftile|stile
faul|saul
suppofe|suppose
averfe|averse
wlliam|william
fwear|swear
flourifhing|flourishing
aftonifhment|astonishment
vefted|vested
fith|sith
llst|list
fubfifted|subsisted
caffa|cassa
shef|shes
aflemblies|assemblies
meaneft|meanest
peafants|peasants
conftantine|constantine
refemble|resemble
iffued|issued
antnio|antonio
demonftrate|demonstrate
affumed|assumed
anfwering|answering
militarv|military
finners|sinners
rifen|risen
fufceptible|susceptible
fincerely|sincerely
perfians|persians
defcribing|describing
stav|stay
especiallv|especially
ftatues|statues
meafured|measured
caefar|caesar
affe|asse
economv|economy
parifhes|parishes
fplendour|splendour
numberlefs|numberless
cruft|crust
poct|poet
flighted|slighted
eftablifhing|establishing
ncome|income
difguife|disguise
scen|seen
refurrection|resurrection
fpreading|spreading
chaf|chas
part|parti
ccelom|coelom
facl|fact
fne|fine
perfeverance|perseverance
correfponding|corresponding
ftreams|streams
fnance|finance
deha|delia
fermon|sermon
scal|seal
nce|once
auffi|aussi
affembled|assembled
weftward|westward
fulphur|sulphur
elfie|elsie
paffages|passages
nearlv|nearly
fupprefs|suppress
englim|english
fita|sita
eaftward|eastward
fids|sids
fpacious|spacious
fhewing|shewing
plaufible|plausible
carelefs|careless
reprefentative|representative
fatis|satis
refigned|resigned
miffion|mission
profeflion|profession
diminifh|diminish
fcarcity|scarcity
lon|leon
infnite|infinite
lancafter|lancaster
lifteth|listeth
vallev|valley
defpotifm|despotism
guefs|guess
havs|hays
aftonifhed|astonished
difpofal|disposal
diftinguifhing|distinguishing
ftted|fitted
failors|sailors
inveftigation|investigation
batf|bats
histoirc|histoire
amceba|amoeba
artifts|artists
fubjedt|subject
aflumed|assumed
dcpt|dept
hio|ohio
betwcen|between
infolent|insolent
ficker|sicker
accomplifh|accomplish
chcm|chem
premifes|premises
dutv|duty
ftruggle|struggle
moifture|moisture
manifeftly|manifestly
amufe|amuse
manifefted|manifested
perifhed|perished
fpake|spake
adverfary|adversary
amifs|amiss
doft|dost
feventeen|seventeen
needlefs|needless
hufbandry|husbandry
ndividual|individual
drefled|dressed
raifes|raises
falfehood|falsehood
affert|assert
afcended|ascended
nternal|internal
fmoke|smoke
fwell|swell
ambafladors|ambassadors
llke|like
confuls|consuls
